docket_no,sex,race
MC-51-CR-0021444-2020,Female,Black
MC-51-CR-0017228-2020,Male,Black
MC-51-CR-0019057-2020,Male,Black
MC-51-CR-0019231-2020,Female,Black
MC-51-CR-0021622-2020,Male,Black
MC-51-CR-0009704-2020,Male,Black
MC-51-CR-0013879-2020,Male,Black
MC-51-CR-0018436-2020,Female,Black
MC-51-CR-0016649-2020,Male,Black
MC-51-CR-0020025-2020,Male,Black
MC-51-CR-0011788-2020,Male,Black
MC-51-CR-0022344-2020,Female,Black
MC-51-CR-0008103-2020,Male,Black
MC-51-CR-0014528-2020,Male,White
MC-51-CR-0022122-2020,Male,White
MC-51-CR-0008365-2020,Male,Black
MC-51-CR-0020243-2020,Male,Black
MC-51-CR-0018650-2020,Male,Black
MC-51-CR-0019808-2020,Female,Black
MC-51-CR-0012447-2020,Male,Black
MC-51-CR-0015586-2020,Male,White
MC-51-CR-0000213-2020,Female,Black
MC-51-CR-0002172-2020,Male,Black
MC-51-CR-0015916-2020,Male,Black
MC-51-CR-0019498-2020,Female,White
MC-51-CR-0010726-2020,Male,Black
MC-51-CR-0017481-2020,Male,Black
MC-51-CR-0010540-2020,Male,Black
MC-51-CR-0002314-2020,Male,White
MC-51-CR-0000075-2020,Male,Black
MC-51-CR-0017811-2020,Male,White
MC-51-CR-0012621-2020,Male,White
MC-51-CR-0022123-2020,Male,Black
MC-51-CR-0008364-2020,Female,Black
MC-51-CR-0018651-2020,Male,Black
MC-51-CR-0020242-2020,Male,Black
MC-51-CR-0016648-2020,Male,Black
MC-51-CR-0011789-2020,Male,White
MC-51-CR-0020024-2020,Male,Black
MC-51-CR-0013878-2020,Male,White
MC-51-CR-0018437-2020,Male,White
MC-51-CR-0022345-2020,Female,Black
MC-51-CR-0008102-2020,Female,Black
MC-51-CR-0014529-2020,Male,White
MC-51-CR-0002315-2020,Male,Black
MC-51-CR-0017480-2020,Male,Black
MC-51-CR-0010541-2020,Male,Black
MC-51-CR-0012620-2020,Male,White
MC-51-CR-0000074-2020,Female,White
MC-51-CR-0017810-2020,Male,Black
MC-51-CR-0000212-2020,Female,White
MC-51-CR-0019809-2020,Female,White
MC-51-CR-0012446-2020,Male,Black
MC-51-CR-0015587-2020,Male,Black
MC-51-CR-0010727-2020,Male,Black
MC-51-CR-0015917-2020,Female,Black
MC-51-CR-0019499-2020,Male,White
MC-51-CR-0008631-2020,Male,Black
MC-51-CR-0022476-2020,Female,Black
MC-51-CR-0020717-2020,Male,Black
MC-51-CR-0018304-2020,Male,Black
MC-51-CR-0018162-2020,Male,Black
MC-51-CR-0004549-2020,Female,Black
MC-51-CR-0003488-2020,Female,Black
MC-51-CR-0020571-2020,Male,White
MC-51-CR-0003818-2020,Male,Black
MC-51-CR-0008457-2020,Male,White
MC-51-CR-0022610-2020,Male,Black
MC-51-CR-0006628-2020,Male,Black
MC-51-CR-0010014-2020,Female,Black
MC-51-CR-0007870-2020,Male,Black
MC-51-CR-0005781-2020,Male,Black
MC-51-CR-0002640-2020,Male,White
MC-51-CR-0000521-2020,Male,Black
MC-51-CR-0012375-2020,Male,White
MC-51-CR-0012113-2020,Female,Black
MC-51-CR-0005977-2020,Male,Black
MC-51-CR-0000747-2020,Male,Black
MC-51-CR-0007686-2020,Male,Black
MC-51-CR-0009869-2020,Male,White
MC-51-CR-0002426-2020,Male,White
MC-51-CR-0010272-2020,Male,Black
MC-51-CR-0020570-2020,Male,Black
MC-51-CR-0018163-2020,Male,Black
MC-51-CR-0004548-2020,Male,White
MC-51-CR-0003819-2020,Male,Black
MC-51-CR-0008456-2020,Male,Black
MC-51-CR-0022611-2020,Male,Black
MC-51-CR-0008630-2020,Male,Black
MC-51-CR-0022477-2020,Female,White
MC-51-CR-0018305-2020,Male,Black
MC-51-CR-0020716-2020,Male,Black
MC-51-CR-0000746-2020,Male,Black
MC-51-CR-0007687-2020,Male,Black
MC-51-CR-0012112-2020,Male,Black
MC-51-CR-0005976-2020,Male,Black
MC-51-CR-0009868-2020,Male,Black
MC-51-CR-0002427-2020,Male,White
MC-51-CR-0005780-2020,Male,White
MC-51-CR-0002641-2020,Male,White
MC-51-CR-0010015-2020,Female,Black
MC-51-CR-0007871-2020,Male,Black
MC-51-CR-0000520-2020,Male,Black
MC-51-CR-0014822-2020,Male,Black
MC-51-CR-0003046-2020,Male,Black
MC-51-CR-0004187-2020,Male,White
MC-51-CR-0011612-2020,Male,White
MC-51-CR-0013573-2020,Female,White
MC-51-CR-0008099-2020,Male,Black
MC-51-CR-0016925-2020,Male,White
MC-51-CR-0001141-2020,Male,Black
MC-51-CR-0013715-2020,Male,Black
MC-51-CR-0011474-2020,Male,White
MC-51-CR-0003220-2020,Male,Black
MC-51-CR-0019992-2020,Male,White
MC-51-CR-0009037-2020,Male,Black
MC-51-CR-0007248-2020,Male,Black
MC-51-CR-0000389-2020,Female,Black
MC-51-CR-0005129-2020,Male,Black
MC-51-CR-0019502-2020,Female,White
MC-51-CR-0021111-2020,Female,Black
MC-51-CR-0021377-2020,Female,Black
MC-51-CR-0019764-2020,Male,Black
MC-51-CR-0009251-2020,Male,Black
MC-51-CR-0013714-2020,Female,Black
MC-51-CR-0006081-2020,Male,Black
MC-51-CR-0016924-2020,Male,White
MC-51-CR-0001140-2020,Male,Black
MC-51-CR-0011475-2020,Male,Black
MC-51-CR-0011613-2020,Male,Black
MC-51-CR-0014823-2020,Female,Black
MC-51-CR-0003047-2020,Male,Black
MC-51-CR-0001326-2020,Male,White
MC-51-CR-0013572-2020,Male,Black
MC-51-CR-0008098-2020,Male,Black
MC-51-CR-0019765-2020,Male,White
MC-51-CR-0021376-2020,Male,Black
MC-51-CR-0009250-2020,Male,White
MC-51-CR-0007249-2020,Male,Black
MC-51-CR-0000388-2020,Male,White
MC-51-CR-0019993-2020,Male,White
MC-51-CR-0009036-2020,Male,White
MC-51-CR-0021110-2020,Female,Black
MC-51-CR-0005128-2020,Male,Black
MC-51-CR-0019503-2020,Male,White
MC-51-CR-0019129-2020,Male,White
MC-51-CR-0010297-2020,Female,White
MC-51-CR-0017356-2020,Male,White
MC-51-CR-0015037-2020,Female,White
MC-51-CR-0002853-2020,Male,White
MC-51-CR-0005992-2020,Male,Black
MC-51-CR-0007663-2020,Male,Black
MC-51-CR-0007405-2020,Male,Black
MC-51-CR-0015251-2020,Male,Black
MC-51-CR-0012390-2020,Male,Black
MC-51-CR-0007895-2020,Male,Black
MC-51-CR-0017130-2020,Male,Black
MC-51-CR-0005764-2020,Male,White
MC-51-CR-0014099-2020,Female,White
MC-51-CR-0013158-2020,Male,Black
MC-51-CR-0020904-2020,Male,Black
MC-51-CR-0018187-2020,Male,Black
MC-51-CR-0008822-2020,Male,Black
MC-51-CR-0020594-2020,Male,White
MC-51-CR-0011239-2020,Male,Black
MC-51-CR-0022803-2020,Male,Black
MC-51-CR-0022493-2020,Female,White
MC-51-CR-0015250-2020,Male,White
MC-51-CR-0012391-2020,Male,Black
MC-51-CR-0007404-2020,Male,Black
MC-51-CR-0005765-2020,Male,Black
MC-51-CR-0007894-2020,Male,Black
MC-51-CR-0017131-2020,Male,Black
MC-51-CR-0010296-2020,Male,Black
MC-51-CR-0017357-2020,Male,Black
MC-51-CR-0019128-2020,Male,White
MC-51-CR-0007662-2020,Male,Black
MC-51-CR-0015036-2020,Male,Black
MC-51-CR-0002852-2020,Male,White
MC-51-CR-0005993-2020,Female,White
MC-51-CR-0022802-2020,Female,Black
MC-51-CR-0022492-2020,Male,Black
MC-51-CR-0020905-2020,Male,Black
MC-51-CR-0014098-2020,Male,Black
MC-51-CR-0013159-2020,Male,Black
MC-51-CR-0011238-2020,Male,Black
MC-51-CR-0020595-2020,Male,Black
MC-51-CR-0018186-2020,Male,Black
MC-51-CR-0008823-2020,Male,Black
MC-51-CR-0021392-2020,Male,White
MC-51-CR-0019781-2020,Male,Black
MC-51-CR-0015869-2020,Female,White
MC-51-CR-0017798-2020,Female,Black
MC-51-CR-0010659-2020,Male,Black
MC-51-CR-0019977-2020,Male,Black
MC-51-CR-0012538-2020,Male,Black
MC-51-CR-0016550-2020,Male,White
MC-51-CR-0004304-2020,Male,White
MC-51-CR-0011801-2020,Male,White
MC-51-CR-0006065-2020,Male,Black
MC-51-CR-0014631-2020,Male,Black
MC-51-CR-0013596-2020,Male,Black
MC-51-CR-0014457-2020,Male,Black
MC-51-CR-0006203-2020,Male,Black
MC-51-CR-0013906-2020,Male,Black
MC-51-CR-0018549-2020,Male,White
MC-51-CR-0004162-2020,Male,White
MC-51-CR-0016736-2020,Male,White
MC-51-CR-0017799-2020,Female,Black
MC-51-CR-0010658-2020,Female,White
MC-51-CR-0015868-2020,Female,Black
MC-51-CR-0019976-2020,Male,Black
MC-51-CR-0012539-2020,Male,Black
MC-51-CR-0019780-2020,Male,Black
MC-51-CR-0021393-2020,Male,Black
MC-51-CR-0006202-2020,Male,Black
MC-51-CR-0013597-2020,Male,Black
MC-51-CR-0014456-2020,Male,Black
MC-51-CR-0016737-2020,Female,White
MC-51-CR-0013907-2020,Male,Black
MC-51-CR-0018548-2020,Male,Black
MC-51-CR-0004163-2020,Male,Black
MC-51-CR-0016551-2020,Male,White
MC-51-CR-0011490-2020,Male,Black
MC-51-CR-0014630-2020,Male,Black
MC-51-CR-0011800-2020,Female,Black
MC-51-CR-0006064-2020,Male,Black
MC-51-CR-0005498-2020,Male,White
MC-51-CR-0009916-2020,Male,Black
MC-51-CR-0002559-2020,Male,Black
MC-51-CR-0009586-2020,Male,Black
MC-51-CR-0000638-2020,Male,Black
MC-51-CR-0021830-2020,Male,White
MC-51-CR-0008528-2020,Male,Black
MC-51-CR-0014103-2020,Male,White
MC-51-CR-0001696-2020,Male,White
MC-51-CR-0006757-2020,Male,Black
MC-51-CR-0004436-2020,Male,Black
MC-51-CR-0016262-2020,Male,White
MC-51-CR-0020668-2020,Male,Black
MC-51-CR-0001860-2020,Male,White
MC-51-CR-0016004-2020,Male,Black
MC-51-CR-0004650-2020,Male,Black
MC-51-CR-0003791-2020,Male,Black
MC-51-CR-0006531-2020,Male,White
MC-51-CR-0014365-2020,Male,Black
MC-51-CR-0022509-2020,Male,Asian/Pacific Islander
MC-51-CR-0005499-2020,Male,White
MC-51-CR-0009917-2020,Male,White
MC-51-CR-0002558-2020,Male,Black
MC-51-CR-0000639-2020,Male,White
MC-51-CR-0021831-2020,Male,White
MC-51-CR-0009587-2020,Male,Black
MC-51-CR-0005809-2020,Male,White
MC-51-CR-0004651-2020,Male,Black
MC-51-CR-0003790-2020,Male,Black
MC-51-CR-0020669-2020,Male,Black
MC-51-CR-0001861-2020,Male,Black
MC-51-CR-0016005-2020,Male,White
MC-51-CR-0014364-2020,Male,Black
MC-51-CR-0022508-2020,Male,Black
MC-51-CR-0006530-2020,Male,Black
MC-51-CR-0001697-2020,Male,Black
MC-51-CR-0006756-2020,Male,Black
MC-51-CR-0008529-2020,Male,Black
MC-51-CR-0014102-2020,Female,Black
MC-51-CR-0016263-2020,Male,White
MC-51-CR-0004437-2020,Male,Black
MC-51-CR-0007151-2020,Male,Black
MC-51-CR-0010935-2020,Male,Black
MC-51-CR-0000090-2020,Male,Black
MC-51-CR-0015705-2020,Male,White
MC-51-CR-0017464-2020,Female,Black
MC-51-CR-0021208-2020,Male,Black
MC-51-CR-0005230-2020,Male,Black
MC-51-CR-0005056-2020,Male,Black
MC-51-CR-0012832-2020,Female,Black
MC-51-CR-0017602-2020,Male,Black
MC-51-CR-0015563-2020,Male,White
MC-51-CR-0009148-2020,Male,Black
MC-51-CR-0007337-2020,Male,Black
MC-51-CR-0008380-2020,Male,Black
MC-51-CR-0018843-2020,Female,Black
MC-51-CR-0006399-2020,Male,White
MC-51-CR-0001258-2020,Male,White
MC-51-CR-0003139-2020,Male,Black
MC-51-CR-0017603-2020,Male,White
MC-51-CR-0005057-2020,Male,White
MC-51-CR-0012833-2020,Male,White
MC-51-CR-0007336-2020,Male,Black
MC-51-CR-0015562-2020,Male,White
MC-51-CR-0009149-2020,Male,Black
MC-51-CR-0015704-2020,Male,White
MC-51-CR-0007150-2020,Male,Black
MC-51-CR-0010934-2020,Male,Black
MC-51-CR-0000091-2020,Male,Black
MC-51-CR-0005231-2020,Male,Black
MC-51-CR-0017465-2020,Male,White
MC-51-CR-0021209-2020,Male,Black
MC-51-CR-0006398-2020,Male,White
MC-51-CR-0001259-2020,Male,White
MC-51-CR-0018842-2020,Female,Black
MC-51-CR-0003138-2020,Male,Black
MC-51-CR-0008381-2020,Male,White
MC-51-CR-0009514-2020,Male,Black
MC-51-CR-0019021-2020,Male,Black
MC-51-CR-0021432-2020,Male,Black
MC-51-CR-0021654-2020,Male,White
MC-51-CR-0017038-2020,Male,Black
MC-51-CR-0019247-2020,Male,Black
MC-51-CR-0015359-2020,Male,White
MC-51-CR-0009772-2020,Male,Black
MC-51-CR-0012298-2020,Male,Black
MC-51-CR-0003565-2020,Male,White
MC-51-CR-0011331-2020,Male,Black
MC-51-CR-0014191-2020,Female,Black
MC-51-CR-0013050-2020,Male,White
MC-51-CR-0004834-2020,Male,Black
MC-51-CR-0013236-2020,Male,White
MC-51-CR-0011157-2020,Male,Black
MC-51-CR-0006933-2020,Male,White
MC-51-CR-0016096-2020,Female,Black
MC-51-CR-0003703-2020,Male,Black
MC-51-CR-0019246-2020,Female,Black
MC-51-CR-0021655-2020,Female,Black
MC-51-CR-0017039-2020,Male,White
MC-51-CR-0015358-2020,Male,Black
MC-51-CR-0012299-2020,Male,White
MC-51-CR-0009515-2020,Female,White
MC-51-CR-0021433-2020,Male,Black
MC-51-CR-0019020-2020,Male,Black
MC-51-CR-0009985-2020,Female,Black
MC-51-CR-0013237-2020,Male,Black
MC-51-CR-0001463-2020,Male,Black
MC-51-CR-0003702-2020,Male,Black
MC-51-CR-0006932-2020,Male,White
MC-51-CR-0016097-2020,Female,White
MC-51-CR-0011330-2020,Male,White
MC-51-CR-0003564-2020,Male,Black
MC-51-CR-0001605-2020,Male,White
MC-51-CR-0014190-2020,Male,Black
MC-51-CR-0013051-2020,Male,White
MC-51-CR-0004835-2020,Male,Black
MC-51-CR-0010537-2020,Male,Black
MC-51-CR-0002363-2020,Male,Black
MC-51-CR-0019689-2020,Male,Black
MC-51-CR-0017866-2020,Male,White
MC-51-CR-0000002-2020,Male,White
MC-51-CR-0012656-2020,Male,White
MC-51-CR-0015797-2020,Male,Black
MC-51-CR-0012430-2020,Female,Black
MC-51-CR-0015961-2020,Male,Black
MC-51-CR-0017690-2020,Female,Black
MC-51-CR-0010751-2020,Male,Black
MC-51-CR-0011909-2020,Male,Black
MC-51-CR-0022155-2020,Male,White
MC-51-CR-0008312-2020,Male,White
MC-51-CR-0014739-2020,Female,Black
MC-51-CR-0016458-2020,Male,Black
MC-51-CR-0020234-2020,Male,Black
MC-51-CR-0011599-2020,Male,Black
MC-51-CR-0018627-2020,Male,
MC-51-CR-0018441-2020,Male,Black
MC-51-CR-0020052-2020,Female,White
MC-51-CR-0022333-2020,Male,Black
MC-51-CR-0008174-2020,Male,White
MC-51-CR-0012431-2020,Female,Black
MC-51-CR-0017691-2020,Male,Asian/Pacific Islander
MC-51-CR-0010750-2020,Male,Black
MC-51-CR-0015960-2020,Female,Black
MC-51-CR-0002104-2020,Male,Black
MC-51-CR-0019688-2020,Male,White
MC-51-CR-0010536-2020,Male,Black
MC-51-CR-0012657-2020,Male,White
MC-51-CR-0015796-2020,Male,Black
MC-51-CR-0017867-2020,Male,White
MC-51-CR-0000003-2020,Male,Black
MC-51-CR-0020053-2020,Male,Black
MC-51-CR-0018440-2020,Male,Black
MC-51-CR-0022332-2020,Male,Black
MC-51-CR-0008175-2020,Male,White
MC-51-CR-0022154-2020,Male,Black
MC-51-CR-0008313-2020,Male,White
MC-51-CR-0014738-2020,Male,White
MC-51-CR-0011908-2020,Male,Black
MC-51-CR-0018626-2020,Male,Black
MC-51-CR-0016459-2020,Female,Black
MC-51-CR-0011598-2020,Female,White
MC-51-CR-0020235-2020,Male,Black
MC-51-CR-0005900-2020,Male,Black
MC-51-CR-0012164-2020,Male,White
MC-51-CR-0000730-2020,Male,White
MC-51-CR-0021938-2020,Male,Black
MC-51-CR-0005590-2020,Male,Black
MC-51-CR-0002451-2020,Male,Black
MC-51-CR-0010205-2020,Male,White
MC-51-CR-0007807-2020,Female,Black
MC-51-CR-0010063-2020,Male,White
MC-51-CR-0002637-2020,Male,White
MC-51-CR-0007497-2020,Male,Black
MC-51-CR-0012302-2020,Male,Black
MC-51-CR-0018115-2020,Male,Black
MC-51-CR-0020506-2020,Male,White
MC-51-CR-0008420-2020,Male,White
MC-51-CR-0022667-2020,Male,Black
MC-51-CR-0020996-2020,Male,White
MC-51-CR-0006439-2020,Female,Black
MC-51-CR-0008646-2020,Male,Black
MC-51-CR-0022401-2020,Male,White
MC-51-CR-0020760-2020,Male,Black
MC-51-CR-0001968-2020,Male,Black
MC-51-CR-0022891-2020,Male,Black
MC-51-CR-0018373-2020,Female,Black
MC-51-CR-0003699-2020,Male,Black
MC-51-CR-0002636-2020,Male,Black
MC-51-CR-0007806-2020,Male,White
MC-51-CR-0010062-2020,Male,Black
MC-51-CR-0012303-2020,Male,Black
MC-51-CR-0000557-2020,Male,White
MC-51-CR-0007496-2020,Male,Black
MC-51-CR-0000731-2020,Male,White
MC-51-CR-0021939-2020,Male,Black
MC-51-CR-0005901-2020,Male,Asian/Pacific Islander
MC-51-CR-0012165-2020,Male,Black
MC-51-CR-0010204-2020,Male,Black
MC-51-CR-0005591-2020,Male,Black
MC-51-CR-0002450-2020,Male,Black
MC-51-CR-0008647-2020,Male,Black
MC-51-CR-0022400-2020,Male,Black
MC-51-CR-0006438-2020,Male,Black
MC-51-CR-0018372-2020,Male,Black
MC-51-CR-0022890-2020,Male,Black
MC-51-CR-0004759-2020,Male,Asian/Pacific Islander
MC-51-CR-0003698-2020,Male,White
MC-51-CR-0020761-2020,Male,Black
MC-51-CR-0001969-2020,Male,Black
MC-51-CR-0020507-2020,Male,White
MC-51-CR-0018114-2020,Male,White
MC-51-CR-0020997-2020,Male,White
MC-51-CR-0008421-2020,Male,White
MC-51-CR-0022666-2020,Male,Black
MC-51-CR-0021300-2020,Male,Black
MC-51-CR-0005338-2020,Male,Black
MC-51-CR-0019713-2020,Male,Black
MC-51-CR-0007059-2020,Male,Black
MC-51-CR-0000198-2020,Male,Black
MC-51-CR-0009226-2020,Male,Black
MC-51-CR-0009040-2020,Male,Black
MC-51-CR-0019575-2020,Male,Black
MC-51-CR-0021166-2020,Male,White
MC-51-CR-0011893-2020,Male,White
MC-51-CR-0001136-2020,Male,Black
MC-51-CR-0016952-2020,Male,Black
MC-51-CR-0013762-2020,Male,White
MC-51-CR-0008288-2020,Male,Black
MC-51-CR-0003257-2020,Male,White
MC-51-CR-0004396-2020,Male,White
MC-51-CR-0003031-2020,Male,White
MC-51-CR-0014855-2020,Male,Black
MC-51-CR-0013994-2020,Male,White
MC-51-CR-0011665-2020,Male,Black
MC-51-CR-0013504-2020,Male,Black
MC-51-CR-0006291-2020,Female,Black
MC-51-CR-0009041-2020,Female,White
MC-51-CR-0021167-2020,Male,Black
MC-51-CR-0019574-2020,Male,Black
MC-51-CR-0005339-2020,Male,Black
MC-51-CR-0019712-2020,Male,White
MC-51-CR-0021301-2020,Male,Black
MC-51-CR-0009227-2020,Male,White
MC-51-CR-0007058-2020,Male,Black
MC-51-CR-0000199-2020,Male,Black
MC-51-CR-0011664-2020,Male,Black
MC-51-CR-0003030-2020,Male,Black
MC-51-CR-0014854-2020,Male,White
MC-51-CR-0013995-2020,Male,Black
MC-51-CR-0006290-2020,Male,Black
MC-51-CR-0013505-2020,Male,White
MC-51-CR-0013763-2020,Female,Black
MC-51-CR-0008289-2020,Male,Black
MC-51-CR-0011892-2020,Male,White
MC-51-CR-0001137-2020,Male,Black
MC-51-CR-0016953-2020,Male,Black
MC-51-CR-0003256-2020,Male,White
MC-51-CR-0011402-2020,Male,White
MC-51-CR-0013445-2020,Male,Black
MC-51-CR-0014584-2020,Male,White
MC-51-CR-0001211-2020,Male,White
MC-51-CR-0003170-2020,Female,Black
MC-51-CR-0014914-2020,Male,Black
MC-51-CR-0020089-2020,Male,Black
MC-51-CR-0011724-2020,Male,White
MC-51-CR-0016483-2020,Male,White
MC-51-CR-0011542-2020,Male,Black
MC-51-CR-0003316-2020,Male,Black
MC-51-CR-0001077-2020,Male,Black
MC-51-CR-0016813-2020,Female,Black
MC-51-CR-0013623-2020,Male,Black
MC-51-CR-0019434-2020,Male,Black
MC-51-CR-0021027-2020,Female,Black
MC-51-CR-0009101-2020,Male,Black
MC-51-CR-0007118-2020,Male,Black
MC-51-CR-0009367-2020,Female,Black
MC-51-CR-0021241-2020,Female,Black
MC-51-CR-0005279-2020,Male,White
MC-51-CR-0019652-2020,Male,Black
MC-51-CR-0016482-2020,Male,Black
MC-51-CR-0011543-2020,Male,White
MC-51-CR-0013622-2020,Male,Black
MC-51-CR-0001076-2020,Male,Black
MC-51-CR-0016812-2020,Male,White
MC-51-CR-0013444-2020,Female,Black
MC-51-CR-0014585-2020,Female,Black
MC-51-CR-0011725-2020,Male,Black
MC-51-CR-0020088-2020,Male,Black
MC-51-CR-0003171-2020,Male,Black
MC-51-CR-0014915-2020,Male,Black
MC-51-CR-0009366-2020,Male,Black
MC-51-CR-0007119-2020,Male,Black
MC-51-CR-0005278-2020,Male,Black
MC-51-CR-0019653-2020,Female,Black
MC-51-CR-0021240-2020,Male,Black
MC-51-CR-0021026-2020,Male,White
MC-51-CR-0019435-2020,Male,White
MC-51-CR-0009100-2020,Male,Black
MC-51-CR-0020621-2020,Male,Black
MC-51-CR-0001829-2020,Male,White
MC-51-CR-0018232-2020,Male,Black
MC-51-CR-0006578-2020,Male,Black
MC-51-CR-0008707-2020,Female,Black
MC-51-CR-0022540-2020,Male,Black
MC-51-CR-0008561-2020,Male,Black
MC-51-CR-0022726-2020,Male,Black
MC-51-CR-0018054-2020,Male,White
MC-51-CR-0020447-2020,Male,Black
MC-51-CR-0000417-2020,Male,Unknown/Unreported
MC-51-CR-0015382-2020,Male,Black
MC-51-CR-0012243-2020,Male,Black
MC-51-CR-0007946-2020,Male,Black
MC-51-CR-0010122-2020,Male,Black
MC-51-CR-0000887-2020,Male,Black
MC-51-CR-0002776-2020,Male,White
MC-51-CR-0002510-2020,Male,Black
MC-51-CR-0010344-2020,Male,White
MC-51-CR-0017285-2020,Male,Black
MC-51-CR-0002980-2020,Male,White
MC-51-CR-0005841-2020,Male,Black
MC-51-CR-0012025-2020,Male,White
MC-51-CR-0021879-2020,Male,Black
MC-51-CR-0008560-2020,Male,Black
MC-51-CR-0022727-2020,Male,Black
MC-51-CR-0020446-2020,Male,Black
MC-51-CR-0018055-2020,Male,White
MC-51-CR-0018233-2020,Male,White
MC-51-CR-0004618-2020,Male,Black
MC-51-CR-0020620-2020,Male,Black
MC-51-CR-0001828-2020,Female,Black
MC-51-CR-0008706-2020,Male,Black
MC-51-CR-0022541-2020,Male,White
MC-51-CR-0006579-2020,Male,Black
MC-51-CR-0010345-2020,Male,White
MC-51-CR-0017284-2020,Male,Black
MC-51-CR-0000670-2020,Male,White
MC-51-CR-0021878-2020,Male,Black
MC-51-CR-0005840-2020,Male,Black
MC-51-CR-0012024-2020,Male,Black
MC-51-CR-0015383-2020,Male,Black
MC-51-CR-0012242-2020,Female,Black
MC-51-CR-0000416-2020,Male,Unknown/Unreported
MC-51-CR-0002777-2020,Male,White
MC-51-CR-0007947-2020,Male,Black
MC-51-CR-0010123-2020,Male,Black
MC-51-CR-0000886-2020,Female,White
MC-51-CR-0018990-2020,Male,White
MC-51-CR-0022272-2020,Male,Black
MC-51-CR-0008035-2020,Male,Black
MC-51-CR-0018500-2020,Male,White
MC-51-CR-0020113-2020,Male,Black
MC-51-CR-0016519-2020,Female,Black
MC-51-CR-0020375-2020,Male,White
MC-51-CR-0018766-2020,Male,Black
MC-51-CR-0011848-2020,Male,Black
MC-51-CR-0016989-2020,Female,White
MC-51-CR-0022014-2020,Male,Black
MC-51-CR-0008253-2020,Male,Black
MC-51-CR-0014678-2020,Male,Black
MC-51-CR-0015820-2020,Male,Black
MC-51-CR-0002044-2020,Male,Unknown/Unreported
MC-51-CR-0005185-2020,Male,Black
MC-51-CR-0010610-2020,Male,Black
MC-51-CR-0012571-2020,Male,White
MC-51-CR-0000325-2020,Male,White
MC-51-CR-0007082-2020,Male,Black
MC-51-CR-0017927-2020,Male,White
MC-51-CR-0000143-2020,Male,Asian/Pacific Islander
MC-51-CR-0012717-2020,Male,White
MC-51-CR-0010476-2020,Female,Black
MC-51-CR-0002222-2020,Male,White
MC-51-CR-0016518-2020,Male,White
MC-51-CR-0020374-2020,Male,Black
MC-51-CR-0022015-2020,Male,Black
MC-51-CR-0008252-2020,Male,Black
MC-51-CR-0014679-2020,Male,White
MC-51-CR-0011849-2020,Male,Black
MC-51-CR-0016988-2020,Male,Black
MC-51-CR-0022273-2020,Male,Black
MC-51-CR-0018991-2020,Female,White
MC-51-CR-0008034-2020,Male,Black
MC-51-CR-0020112-2020,Male,White
MC-51-CR-0018501-2020,Male,Asian/Pacific Islander
MC-51-CR-0012716-2020,Male,White
MC-51-CR-0017926-2020,Male,White
MC-51-CR-0000142-2020,Male,Black
MC-51-CR-0010477-2020,Male,Black
MC-51-CR-0010611-2020,Male,White
MC-51-CR-0015821-2020,Male,Black
MC-51-CR-0002045-2020,Male,Black
MC-51-CR-0005184-2020,Male,Black
MC-51-CR-0000324-2020,Male,White
MC-51-CR-0012570-2020,Male,Black
MC-51-CR-0011016-2020,Male,White
MC-51-CR-0006872-2020,Male,Black
MC-51-CR-0004783-2020,Male,White
MC-51-CR-0003642-2020,Male,White
MC-51-CR-0013377-2020,Male,Black
MC-51-CR-0013111-2020,Male,Black
MC-51-CR-0004975-2020,Female,Black
MC-51-CR-0001745-2020,Female,White
MC-51-CR-0006684-2020,Male,White
MC-51-CR-0003424-2020,Male,Black
MC-51-CR-0011270-2020,Female,Black
MC-51-CR-0015218-2020,Male,White
MC-51-CR-0009633-2020,Male,Black
MC-51-CR-0021715-2020,Male,Black
MC-51-CR-0017179-2020,Female,Black
MC-51-CR-0019306-2020,Male,Black
MC-51-CR-0019160-2020,Male,Black
MC-51-CR-0021573-2020,Male,White
MC-51-CR-0009455-2020,Male,Black
MC-51-CR-0013110-2020,Female,Black
MC-51-CR-0004974-2020,Female,White
MC-51-CR-0011271-2020,Female,Black
MC-51-CR-0003425-2020,Female,Black
MC-51-CR-0004782-2020,Male,White
MC-51-CR-0003643-2020,Male,White
MC-51-CR-0011017-2020,Male,White
MC-51-CR-0006873-2020,Female,White
MC-51-CR-0021572-2020,Male,Black
MC-51-CR-0019161-2020,Male,Black
MC-51-CR-0009454-2020,Male,Black
MC-51-CR-0015219-2020,Male,Black
MC-51-CR-0009632-2020,Female,White
MC-51-CR-0019307-2020,Male,White
MC-51-CR-0021714-2020,Female,Black
MC-51-CR-0017178-2020,Female,Black
MC-51-CR-0003078-2020,Male,Black
MC-51-CR-0018592-2020,Male,Black
MC-51-CR-0020181-2020,Male,Black
MC-51-CR-0018902-2020,Male,Black
MC-51-CR-0001319-2020,Male,Black
MC-51-CR-0022086-2020,Male,White
MC-51-CR-0015422-2020,Male,White
MC-51-CR-0009009-2020,Male,Black
MC-51-CR-0007276-2020,Male,Black
MC-51-CR-0012973-2020,Male,White
MC-51-CR-0017743-2020,Male,Black
MC-51-CR-0010682-2020,Male,Black
MC-51-CR-0017525-2020,Female,Black
MC-51-CR-0021349-2020,Male,Black
MC-51-CR-0005371-2020,Male,Black
MC-51-CR-0007010-2020,Male,Black
MC-51-CR-0010874-2020,Male,Black
