docket_no,sex,race
MC-51-CR-0006583-2020,Male,Black
MC-51-CR-0013216-2020,Female,Black
MC-51-CR-0006913-2020,Male,White
MC-51-CR-0003723-2020,Male,Black
MC-51-CR-0009534-2020,Male,Black
MC-51-CR-0021882-2020,Male,Black
MC-51-CR-0019001-2020,Female,Black
MC-51-CR-0021412-2020,Female,Black
MC-51-CR-0021674-2020,Female,Black
MC-51-CR-0017018-2020,Male,White
MC-51-CR-0019267-2020,Male,Black
MC-51-CR-0009752-2020,Female,Black
MC-51-CR-0015379-2020,Male,White
MC-51-CR-0013217-2020,Female,Black
MC-51-CR-0001443-2020,Male,Black
MC-51-CR-0006582-2020,Male,Black
MC-51-CR-0003722-2020,Male,Black
MC-51-CR-0006912-2020,Male,White
MC-51-CR-0011176-2020,Male,White
MC-51-CR-0011310-2020,Male,Black
MC-51-CR-0004485-2020,Male,White
MC-51-CR-0003544-2020,Male,White
MC-51-CR-0001625-2020,Female,White
MC-51-CR-0019266-2020,Male,Black
MC-51-CR-0021675-2020,Male,Black
MC-51-CR-0017019-2020,Female,White
MC-51-CR-0015378-2020,Male,Black
MC-51-CR-0021883-2020,Male,Black
MC-51-CR-0009535-2020,Male,Black
MC-51-CR-0021413-2020,Male,Black
MC-51-CR-0019000-2020,Male,Black
MC-51-CR-0011929-2020,Male,Black
MC-51-CR-0022175-2020,Male,Black
MC-51-CR-0014719-2020,Male,Black
MC-51-CR-0008332-2020,Female,Black
MC-51-CR-0016478-2020,Male,Black
MC-51-CR-0020214-2020,Male,Black
MC-51-CR-0018607-2020,Male,Black
MC-51-CR-0018461-2020,Male,Black
MC-51-CR-0020072-2020,Female,Black
MC-51-CR-0022313-2020,Male,Black
MC-51-CR-0008154-2020,Male,Black
MC-51-CR-0010517-2020,Male,Black
MC-51-CR-0002343-2020,Male,Black
MC-51-CR-0005282-2020,Male,White
MC-51-CR-0010987-2020,Male,White
MC-51-CR-0000022-2020,Male,Black
MC-51-CR-0017846-2020,Male,White
MC-51-CR-0012676-2020,Female,Black
MC-51-CR-0012410-2020,Male,Black
MC-51-CR-0007385-2020,Female,Asian/Pacific Islander
MC-51-CR-0015941-2020,Male,Black
MC-51-CR-0012880-2020,Male,Black
MC-51-CR-0010771-2020,Male,Black
MC-51-CR-0020073-2020,Male,Black
MC-51-CR-0018460-2020,Male,Black
MC-51-CR-0022312-2020,Male,Black
MC-51-CR-0008155-2020,Male,Black
MC-51-CR-0022174-2020,Male,White
MC-51-CR-0014718-2020,Male,Black
MC-51-CR-0008333-2020,Female,Black
MC-51-CR-0011928-2020,Female,Black
MC-51-CR-0016479-2020,Male,Black
MC-51-CR-0020215-2020,Male,White
MC-51-CR-0007384-2020,Female,White
MC-51-CR-0012411-2020,Male,Black
MC-51-CR-0010770-2020,Male,Black
MC-51-CR-0002124-2020,Male,Black
MC-51-CR-0015940-2020,Male,Black
MC-51-CR-0012881-2020,Male,Black
MC-51-CR-0002342-2020,Female,Black
MC-51-CR-0005283-2020,Male,Black
MC-51-CR-0010516-2020,Female,Black
MC-51-CR-0012677-2020,Male,White
