,zipcode,households,families,married_families,nonfamily_households,households_less_than_$10000,"households_$10,000_to_$14,999","households_$15,000_to_$24,999","households_$25,000_to_$34,999","households_$35,000_to_$44,999","households_$45,000_to_$74,999","households_$75,000_to_$99,999","households_$100,000_to_$149,999","households_$150,000_to_$199,999","households_$200,000_or_more",households_median_income,households_mean_income,families_less_than_$10000,"families_$10,000_to_$14,999","families_$15,000_to_$24,999","families_$25,000_to_$34,999","families_$35,000_to_$44,999","families_$45,000_to_$74,999","families_$75,000_to_$99,999","families_$100,000_to_$149,999","families_$150,000_to_$199,999","families_$200,000_or_more",families_median_income,families_mean_income,married_families_less_than_$10000,"married_families_$10,000_to_$14,999","married_families_$15,000_to_$24,999","married_families_$25,000_to_$34,999","married_families_$35,000_to_$44,999","married_families_$45,000_to_$74,999","married_families_$75,000_to_$99,999","married_families_$100,000_to_$149,999","married_families_$150,000_to_$199,999","married_families_$200,000_or_more",married_families_median_income,married_families_mean_income,nonfamily_households_less_than_$10000,"nonfamily_households_$10,000_to_$14,999","nonfamily_households_$15,000_to_$24,999","nonfamily_households_$25,000_to_$34,999","nonfamily_households_$35,000_to_$44,999","nonfamily_households_$45,000_to_$74,999","nonfamily_households_$75,000_to_$99,999","nonfamily_households_$100,000_to_$149,999","nonfamily_households_$150,000_to_$199,999","nonfamily_households_$200,000_or_more",nonfamily_households_median_income,nonfamily_households_mean_income
25,19132,13756,6359,1825,7397,28.9,10.0,16.7,12.5,12.4,11.7,4.0,2.1,1.1,0.7,20955,31880,14.3,9.9,15.3,15.8,13.3,18.5,6.2,3.4,2.1,1.3,31459,43158,3.5,7.0,12.4,12.1,10.3,24.1,13.6,7.1,5.7,4.3,57708,N,42.2,10.6,17.7,10.4,11.0,5.4,1.9,0.6,0.2,0.0,13590,20243
26,19133,8907,5474,1723,3433,27.3,13.2,18.1,14.8,10.1,8.4,4.8,1.2,0.5,1.5,19130,32496,17.8,12.8,19.3,18.1,11.7,8.9,7.3,1.2,0.7,2.2,25041,38981,7.3,10.0,15.4,20.0,16.4,14.2,12.8,2.3,1.6,0.1,33914,N,48.0,14.6,15.6,8.4,5.2,5.7,1.3,0.7,0.0,0.5,10594,19703
27,19134,19830,12725,4317,7105,19.4,9.4,14.8,14.2,12.0,13.0,6.7,7.4,1.9,1.2,28911,43714,15.8,10.4,14.8,13.9,13.1,12.7,6.6,8.8,2.9,0.9,31080,46705,5.1,4.0,9.0,11.5,14.0,15.2,13.0,19.4,6.5,2.3,58967,N,31.9,8.8,14.9,15.7,9.6,9.8,3.7,4.2,0.5,1.0,20770,32280
28,19135,11945,7813,3995,4132,9.4,4.3,13.9,10.6,17.4,22.3,9.2,10.2,2.2,0.6,44779,56129,5.8,2.9,11.2,9.2,17.7,24.2,12.0,13.2,2.7,1.0,52819,65488,2.8,1.5,5.0,4.3,14.9,29.1,15.7,21.0,4.3,1.5,68365,N,17.8,7.6,20.3,14.1,14.3,18.5,4.3,2.6,0.5,0.0,28306,34467
29,19136,12610,7227,4686,5383,7.1,6.2,12.8,11.8,14.1,19.9,11.4,11.6,3.4,1.6,48576,59546,3.9,3.6,9.5,10.8,13.9,20.0,14.1,16.7,4.7,2.9,58522,72246,0.5,2.8,7.3,7.8,12.1,22.6,14.4,21.4,6.8,4.2,69213,N,12.4,9.5,17.3,14.4,14.3,18.6,8.2,4.2,1.0,0.0,31057,40698
30,19137,3045,2023,1156,1022,8.7,6.8,6.8,10.1,13.1,17.5,17.3,12.4,5.2,2.1,54006,66242,5.0,5.3,6.5,8.6,9.2,20.0,19.4,17.1,5.8,3.2,68272,76838,1.9,4.4,2.0,2.9,7.3,22.0,22.3,22.4,9.3,5.5,81181,N,16.7,10.3,12.2,14.5,18.4,12.4,10.5,4.5,0.5,0.0,33137,39329
31,19138,11334,7010,2685,4324,16.3,6.5,12.7,10.1,15.5,17.4,8.7,10.2,1.8,0.7,39851,51316,8.7,3.8,9.6,9.3,18.8,21.8,10.2,14.4,2.3,1.1,49812,63859,6.4,0.9,6.2,4.9,17.9,20.1,10.5,28.5,3.3,1.3,69819,N,29.0,10.7,18.4,13.1,10.3,10.6,5.4,2.2,0.3,0.0,21158,28535
32,19139,16643,8787,2062,7856,20.4,10.4,15.5,10.5,15.2,14.9,7.4,4.4,1.0,0.3,28505,38352,14.2,9.6,16.3,14.1,15.4,13.1,9.3,6.2,1.5,0.3,32096,42736,5.5,5.1,13.1,8.5,15.1,17.1,15.5,14.7,4.2,1.1,56908,N,28.7,12.2,15.5,8.1,14.6,13.3,5.0,2.1,0.3,0.2,19300,30442
33,19140,18459,10824,3103,7635,22.3,14.5,16.9,13.9,12.0,11.6,5.4,2.1,0.5,0.7,21665,34159,15.0,12.4,13.4,17.1,14.5,14.4,8.4,2.8,0.7,1.3,31098,43104,9.6,10.7,10.6,14.4,17.4,17.7,11.8,6.1,0.4,1.4,40262,50440,35.1,18.8,20.4,10.3,8.6,5.4,0.8,0.5,0.2,0.0,13965,19528
34,19141,12666,6931,2234,5735,17.0,8.2,16.2,12.4,13.6,14.2,7.8,8.0,1.4,1.1,31018,46177,10.8,5.3,15.0,13.1,13.8,15.5,11.9,11.6,1.5,1.6,39480,54703,3.9,4.7,4.0,5.6,15.9,19.4,19.5,20.2,3.1,3.7,72781,N,24.6,12.4,18.5,12.5,13.0,11.5,3.2,2.7,0.9,0.5,21209,33618
35,19142,9678,5684,2034,3994,20.9,8.6,13.5,13.7,12.8,16.2,8.2,5.1,0.5,0.4,30431,39360,14.3,5.9,11.0,14.9,15.6,19.3,10.3,7.6,0.6,0.6,39421,47247,3.6,2.6,6.2,14.8,11.9,29.5,17.8,11.3,1.6,0.5,57792,N,32.4,12.5,17.8,12.6,8.9,11.2,3.3,0.9,0.1,0.3,16843,25569
